,tone_time_stamp,tone_category,tone_clock_time_omission,tone_clock_time_comp
0,1408048,rewarded,60.4024,-1269.52745
1,3008051,rewarded,140.40255,-1189.5273
2,4808043,rewarded,230.40215,-1099.5277
3,6408042,omission,310.4021,-1019.52775
4,7908040,rewarded,385.402,-944.52785
5,9908037,rewarded,485.40185,-844.528
6,11808035,rewarded,580.40175,-749.5281
7,13608031,rewarded,670.40155,-659.5283
8,15208032,omission,750.4016,-579.52825
9,17008029,rewarded,840.40145,-489.52840000000003
10,19008027,rewarded,940.40135,-389.5285
11,20808026,omission,1030.4013,-299.52855
12,23208023,rewarded,1150.40115,-179.52870000000007
13,25008021,rewarded,1240.40105,-89.52880000000005
14,27998597,loss,1389.92985,60.0
15,29598593,win,1469.92965,139.99980000000005
16,31398591,win,1559.92955,229.99970000000008
17,32998593,win,1639.92965,309.99980000000005
18,34498591,win,1714.92955,384.9997000000001
19,36498588,win,1814.9294,484.99955
20,38398586,win,1909.9293,579.99945
21,40198584,win,1999.9292,669.99935
22,41798580,win,2079.929,749.9991500000001
23,43598581,win,2169.92905,839.9992000000002
24,45598579,win,2269.92895,939.9991
25,47398577,win,2359.92885,1029.9989999999998
26,49798572,loss,2479.9286,1149.9987500000002
27,51598570,loss,2569.9285,1239.99865
28,53298568,loss,2654.9284,1324.9985499999998
29,55098566,loss,2744.9283,1414.99845
30,56998564,win,2839.9282,1509.9983499999998
31,59398564,loss,2959.9282,1629.9983499999998
32,60998563,loss,3039.92815,1709.9983000000002
